,symbol,date,close,volume,change,percentChange
4025,IEFA,2020-02-12,65.57,4906000.0,0.03,0.046
4026,IEFA,2020-02-11,65.32,6659800.0,0.0,0.0
4027,IEFA,2020-02-10,64.879997,5092800.0,0.27,0.418
4028,IEFA,2020-02-07,64.739998,6182600.0,-0.23,-0.354
4029,IEFA,2020-02-06,65.349998,6201200.0,-0.05,-0.076
4030,IEFA,2020-02-05,65.209999,7401200.0,0.0,0.0
4031,IEFA,2020-02-04,64.620003,11560100.0,0.12,0.186
4032,IEFA,2020-02-03,63.540001,8319900.0,-0.05,-0.079
4033,IEFA,2020-01-31,63.450001,18873700.0,-0.42,-0.658
4034,IEFA,2020-01-30,64.440002,8285900.0,0.47,0.735
4035,IEFA,2020-01-29,64.510002,8653600.0,-0.1,-0.155
4036,IEFA,2020-01-28,64.489998,7653100.0,0.32999,0.514
4037,IEFA,2020-01-27,63.91,8419600.0,-0.15,-0.234
4038,IEFA,2020-01-24,65.269997,10825900.0,-0.56,-0.851
4039,IEFA,2020-01-23,65.559998,6435600.0,0.06,0.092
4040,IEFA,2020-01-22,65.730003,6911100.0,-0.13,-0.197
4041,IEFA,2020-01-21,65.599998,7998700.0,-0.22,-0.334
4042,IEFA,2020-01-17,66.120003,8036800.0,0.04,0.061
4043,IEFA,2020-01-16,65.900002,9472000.0,0.15,0.228
4044,IEFA,2020-01-15,65.620003,6759700.0,0.02,0.03
4045,IEFA,2020-01-14,65.68,29930900.0,0.24,0.367
4046,IEFA,2020-01-13,65.610001,7749600.0,0.3,0.459
4047,IEFA,2020-01-10,65.209999,5648300.0,-0.23,-0.351
4048,IEFA,2020-01-09,65.519997,6944900.0,0.06,0.092
4049,IEFA,2020-01-08,65.339996,8249700.0,0.28,0.43
4050,IEFA,2020-01-07,65.190002,5815100.0,-0.16,-0.245
4051,IEFA,2020-01-06,65.339996,7468300.0,0.37,0.569
4052,IEFA,2020-01-03,65.110001,9663700.0,0.06,0.092
4053,IEFA,2020-01-02,65.93,10523100.0,0.15,0.228
